symbol_nse,symbol_bse,company_name,isin,nse_series,bse_scrip_code,status
,ACLGATI,ALLCARGO GATI LIMITED,INE152B01027,,532345,suspended
,ACME,Acme Resources Limited,INE636B01011,,539391,active
ACMESOLAR,ACMESOLAR,ACME Solar Holdings Limited,INE622W01025,EQ,544283,active
,ACML,ADITYA CONSUMER MARKETING LIMITED,INE427V01013,,540146,active
,ACROPETAL,Acropetal Technologies Limited,INE055L01013,,533330,delisted
,ACROW,Acrow (India) Ltd.,INE950D01012,,513149,active
,ACSTECH,ACS TECHNOLOGIES LIMITED,INE366C01021,,530745,active
,ACTIONFI,Action Financial Services (India) L,INE357A01032,,511706,delisted
,ACTIVE,Active Clothing Co  Limited,INE380Z01015,,541144,active
ACUTAAS,ACUTAAS,ACUTAAS CHEMICALS LIMITED,INE00FF01025,EQ,543349,active
,ADAMCO,Adam Comsof Ltd.,INE272A01017,,526177,delisted
,ADANI-RE,Adani Enterprises Ltd.,INE423A20016,,751059,suspended
,ADANIENPP,Adani Enterprises Ltd.,IN9423A01030,,890227,active
ADANIENSOL,ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,EQ,539254,active
ADANIENT,ADANIENT,Adani Enterprises Ltd.,INE423A01024,EQ,512599,active
ADANIGREEN,ADANIGREEN,Adani Green Energy Limited,INE364U01010,EQ,541450,active
ADANIPORTS,ADANIPORTS,Adani Ports and Special Economic Zone Ltd,INE742F01042,EQ,532921,active
ADANIPOWER,ADANIPOWER,Adani Power Limited,INE814H01029,EQ,533096,active
,ADARSHPL,Adarsh Plant Project Ltd.,INE627D01016,,526711,active
,ADCINDIA,ADC India Communications Limited,INE833A01016,,523411,active
,ADCON,Adcon Capital Services Limited,INE805Q01028,,539506,active
,ADCON-RE,Adcon Capital Services Limited,INE805Q20010,,750744,suspended
,ADCONPP,Adcon Capital Services Limited,IN9805Q01018,,890179,delisted
,ADCOUNTY,ADCOUNTY MEDIA INDIA LIMITED,INE0W1601012,,544435,active
,ADDIND,Addi Industries Ltd.,INE757C01021,,507852,active
,ADDLP,Add-life Pharma Ltd.,INE124C01016,,524665,delisted
,ADESHWAR,Adeshwar Meditex Limited,INE0H8J01015,,543309,active
ADFFOODS,ADFFOODS,ADF Foods Limited.,INE982B01027,EQ,519183,active
,ADHARSHILA,ADHARSHILA CAPITAL SERVICES LIMITED,INE269F01012,,539493,delisted
,ADHBHUTIN,Adhbhut Infrastructure Ltd.,INE578L01014,,539189,active
,ADHHATA,ADHATA GLOBAL LIMITED,INE586D01014,,531286,active
,ADHIRAJ,Adhiraj Distributors Limited,INE067R01015,,780018,active
,ADHUNIK,Adhunik Metaliks Ltd.,INE400H01019,,532727,delisted
